PlaceName,County,Business Name,Address Line 1,Address Line 2,City,State,Zip,Telephone Number,Should the customer call first?,Email Address,Website,Facebook,Instagram,Directions to business,Months open for business,Days open,Hours on Monday,Hours on Tuesday,Hours on Wednesday,Hours on Thursday,Hours on Friday,Hours on Saturday,Hours on Sunday,Operation type,Agritourism activities offered,Operation type (other),Certified organic,SNAP accepted,ADA accessible,Organic certification agency,Produce Categories 1,Produce Categories 2,Produce Categories 3,Produce Categories (other),Meat Categories,Game,Fish,Meat (other),Miscellaneous 1,Miscellaneous 2,Miscellaneous (Other),Additional information,Wines,Daily hours,Latitude,Longitude
,Fremont,Oswald Grassfed Beef,2241 County Rd 1A,PO Box 304,Cotopaxi,CO,81223,(719) 942-4361,Yes,stepheno@centurylink.net,www.oswaldgrassfedbeef.com ,https://www.facebook.com/oswaldgrassfedbeef/,,"5 1/2 miles south of Cotopaxi
2241 County Rd 1A",January|February|March|April|May|June|July|August|September|October|November|December,1|2|3|4|5|6|7,call first please to arrange a time. ,ditto,ditto,ditto,ditto,ditto,ditto ,,,"Direct Market our Grassfed Beef. Halves, Wholes, Quarters for fall processing. Ground Beef and other cuts, as available, throughout the year or until supply runs out.",No,No,Yes,,,,,,Beef,,,Grass fed and finished beef,,,,"We are all natural, no hormones or antibiotics.  Grass-fed and finished.  No grain. We choose not to be certified organic, but our product is of organic quality. We rotate animals through pastures on the best grasses. Regenerative land and soil healthy practices. ",,,38.30483699999999,-105.6591
,Adams,Palombo Farms Market,11500 Havana St.,,Henderson,CO,80640,(303) 287-0134,Yes,palombomarket@gmail.com,Palombomarket.com,https://www.facebook.com/PalomboMarket/,https://www.instagram.com/palombomarket,,July|August|September|October|December,8,,,,,,,,,Christmas Trees,Christmas Trees in December,No,No,Yes,,,,,,,,,,,,,"Palombo Farms Market is a farm fresh produce market that's been serving the local community for more than 40 years. Family owned and operated, we grow and source produce from our family farm as well as other local farms supporting the agricultural community throughout Colorado.",,,39.90343502012042,-104.86404502287498
,Denver,Pasture Provisions Company,620 E 52nd Ave,,Denver,CO,80216,(720) 515-1477,,hello@pastureprovisionsco.com,www.pastureprovisionsco.com,,https://www.instagram.com/pastureprovisionsco/,,January|February|March|April|May|June|July|August|September|October|November|December,2|1|3|4|5,8 am - 5 pm,8 am - 5 pm,8 am - 5 pm,8 am - 5 pm,8 am - 5 pm,,,,,Meat Delivery Service,No,No,Yes,Our Organic Chicken is Certified by the USDA,,Lettuce,,,Beef|Lamb|Pork|Poultry|Sausage,,"Wild-Caught Seafood Including:
Salmon
Halibut
Swordfish
Shrimp
Seabass
Stripped Bass
Flounder 
Monkfish
Haddock 
Cod
Pollock",,Cheese|Eggs,,,Pasture Provisions is a far-to-door meat delivery service featuring Colorado and regional grass-fed and finished and pasture-raised meats and eggs.    ,,,39.790898999999996,-104.979105
,Delta,Princess Beef,32282 J Road,,Hotchkiss,CO,81419,(970) 216-5897,Yes,CynthRanch@gmail.com,princessbeef.com,Princess Beef,princess_beef_ranch,,January|February|March|April|May|June|July|August|September|October|November|December,1|2|3|4|5|6|7|8,8 a.m.- 5 p.m.,8 a.m.- 5 p.m.,8 a.m.- 5 p.m.,8 a.m.- 5 p.m.,8 a.m.- 5 p.m.,8 a.m.- 5 p.m.,8 a.m.- 5 p.m.,Centennial Farm/Ranch,,,No,No,No,,,,,,Beef,,,,,,,"100%Grassfed and finished beef, centennial family farm, Animal Welfare Approved, American Grassfed Certified, Audubon Certified  Quarter, half, whole beef by early reservation, ground available at the ranch year round",,,38.78465399999999,-107.7575445
,Las Animas,Rancho Largo Cattle Co.,53504 CR 91.1,,Fowler,CO,81039,(719) 738-1699,Yes,rancholargobeef@gmail.com,rancholargo.com,,,,January|February|March|April|May|June|July|August|September|October|November|December,1|2|3|4|5|8,7 am - 4 pm,7 am - 4 pm,7 am - 4 pm,7 am - 4 pm,7 am - 4 pm,,,On-Farm/Ranch sales|Sell to Schools,,Sell Through Website,No,No,No,,,,,,Beef,,,,,,,"We produce grass finished beef on 14,000 acres of native rangeland.  Our decision making has been driven by ecosystem health for 25 years.",,7 am - 4 pm,37.7669136668033,-104.3227408576714
,Chaffee,Rocky Mountain Garlic,9241 County Road 156,,Salida,CO,81201,(719) 221-6943,,rockymountaingarlicllc@gmail.com,Rockymountaingarlic.com,rockymountaingarlic,rockymountaingarlic,,May|June|July|August|September|October|November,6|5|4|3|2|1,6-Oct,6-Oct,6-Oct,6-Oct,6-Oct,6-Oct,,CSA Farm|Roadside Market|Greenhouse|On-Farm/Ranch sales,,"Passive Solar Greenhouse Tours available, contact via email. ",No,No,No,,,,,,,,,,,,,"Rocky Mountain Garlic is a Certified Naturally Grown, low till, bio intensive vegetable market garden specializing in hardneck garlic. Our Farm Store is open 6 days a week, May - November. You can also find us every Saturday at the Salida Farmers Market at Alpine Park 8am-12pm, June - October.  ",,,38.55088257506522,-106.01049240397752
,Otero,Sackett's Farm Market,20277 US 50,,Rocky Ford,CO,81067,(719) 469-9785,No,sackettsfarmmarket@gmail.com,,,,East side of Rocky Ford. Turn off Hwy 50 when you see signs and flags right into the parking lot! We are located next the the lumber yard ,July|November,1|2|3|4|5|6|7,8am-7pm,8am-7pm,8am-7pm,8am-7pm,8am-7pm,8am-7pm,8am-7pm,,,Local Produce ,No,Yes,Yes,The Market is handicapped accessible ,Apples|Apricots|Beets|Bell Peppers|Cabbage|Cantaloupe|Cherries|Chile Peppers|Chile - Roasted|Cucumbers|Cauliflower,Eggplant|Garlic|Grapes|Green Beans|Honeydew|Herbs|Lettuce|Okra|Onions|Peaches|Pears,Pinto Beans|Plums|Potatoes|Pumpkins|Radishes|Squash|Sweet Corn|Tomatoes|Watermelon|Zucchini,,,,,,Honey|Jams|Jellies|Pickles|Popcorn,Cider|Juices,,"Eat fresh, support local! Grab seasonal produced picked at the peak of ripeness grown right here in Rocky Ford. Youâ€™ll find a wide variety of melons, vegetables, fruit and other treats. Taste the farm fresh difference at Sackettâ€™s Farm Market! ",,,38.04635054012865,-103.70286130377971
,Larimer,Scofield Fruits LLC,1821 W Eisenhower Blvd,,Loveland,CO,80537,(970) 622-8228,No,info@scofieldfruits.com,https://scofieldfruits.com,https://www.facebook.com/scofieldfruit,https://www.instagram.com/scofieldfruits,"Approximately 5.2 miles west of I-25 on Hwy.
34 (Eisenhower). West of Lake Loveland at the
corner of Eisenhower and Van Buren next to
McDonaldâ€™s (under the tent).",May|June|July|August|September,1|2|3|4|5|6|7,9 a.m. - 6 p.m.,9 a.m. - 6 p.m.,9 a.m. - 6 p.m.,9 a.m. - 6 p.m.,9 a.m. - 6 p.m.,9 a.m. - 6 p.m.,10 a.m. - 5 p.m.,Roadside Market,,,No,Yes,Yes,,Apples|Apricots|Beets|Cantaloupe|Cherries|Chile Peppers|Chile - Roasted|Cucumbers|Asparagus|Bell Peppers|Broccoli|Cabbage|Cauliflower,Garlic|Green Beans|Honeydew|Nectarines|Okra|Onions|Peaches|Pears,Peas|Plums|Potatoes|Raspberries|Rhubarb|Squash|Strawberries|Sweet Corn|Tomatoes|Watermelon|Zucchini,Pie (Sour) Cherries ,,,,,Eggs|Honey|Jams|Jellies|Pickles|Popcorn,Cider|Juices,,"Also visit us every Thursday from 8-1 (June - Sept) at the Estes Valley Farmersâ€™ Market Located at the Estes Park Visitors Center, and Sunday at the Loveland Farmersâ€™ Market from 9-1 (June â€“ Sept) located at Fairgrounds Park.",,,40.407307436374396,-105.10299373087717
,Mesa,Smith Family Orchards ,680 36 1/4 Rd,,Palisade,CO,81526,(970) 424-8888,No,smithfamilyorchards@outlook.com,Www.smithfamilyorchard.com,Smith Family Orchard Store,@smithfamilyorchards.palisade,,March|April|May|June|August|July|September|November|December,8,,,,,,,,Roadside Market,,,No,No,Yes,,Cherries|Apricots,Peaches,,Almonds ,,,,,Baked Goods|Cheese|Eggs|Honey|Jams|Jellies,Handcrafted Gifts,,"We're proud to be a Veteran-owned, family-run business dedicated to preserving the charm and warmth of a local farm store and orchard in Palisade, CO. Our commitment is to offer fresh, locally grown peaches and supporting local Artists & Crafters. Our store features local handcrafted creations, offering gifts & souvenirs.",,9am - 5pm,39.10325399999999,-108.379818
,Jefferson,Southwest Plaza Farmers' Market,8501 W. Bowles Ave,,Littleton,CO,80123,(303) 655-3784,No,starnertoni@yahoo.com,https://www.denverfarmersmarket.com/,https://www.facebook.com/denverfarmersmarket,https://www.instagram.com/metro.denver.farmers.market/,"Southeast Parking Lot
Wadsworth and Bowles",May|June|July|August|September|October,6,,,,,,8 a.m. - 2 p.m. or sellout,,Farmers' Market,,Live Music,No,Yes,Yes,The National Organic Initiative,Apples|Apricots|Asparagus|Beets|Bell Peppers|Broccoli|Brussels Sprouts|Cabbage|Cantaloupe|Carrots|Cauliflower|Celery|Cherries|Chile Peppers|Chile - Roasted|Cucumbers,Eggplant|Garlic|Grapes|Green Beans|Herbs|Honeydew|Kale|Leeks|Lettuce|Microgreens|Mushrooms|Nectarines|Okra|Onions|Peaches|Pears,Peas|Pinto Beans|Plums|Potatoes|Pumpkins|Radishes|Raspberries|Rhubarb|Spinach|Squash|Strawberries|Sweet Corn|Tomatoes|Turnips|Watermelon|Zucchini,,Beef|Jerky|Sausage,,"Alaskan Seafood
(Seasonal - frozen)",,Baked Goods|Cheese|Eggs|Honey|Jams|Jellies|Pickles|Popcorn,Cider|Juices|Wine |Handcrafted Gifts,Spirits,"Baked goods, BBQ, black-eyed peas, body oils, candles, candy, flowers (fresh-cut & dried), honey, jellies, kettle korn, kohlrabi, leeks, nuts, okra, pasta, pesto, pickles, tortillas, & wild rice. Gardening supplies & shoes. Specialty foods (German, African, French, and Mexican)",,,39.61075500000001,-105.0955875
,Adams,Spano fresh produce ,5820 Lowell Blvd ,,Denver ,CO,80221,(303) 901-3356,No,spanoemarie@gmail.com,Spano Greenhouse and Farm,Spano greenhouse and farm ,Spano greenhouse and farm ,,June|July|August|September|October|November|December|January|February|March|May|April,1|2|3|4|5|6|8|7,9 am -5pm,9am - 5pm,9am-5pm,9am-5pm,9am-5pm,9am-5pm,10am-4pm,Garden Center|Greenhouse|Roadside Market,Pumpkin Patch,,No,No,Yes,,,,,,,,,,,,,"Spano, greenhouse and farm has a wide variety of annuals and perennials. Also from July through October 31 we have a farmers market fresh produce grown and sourced locally throughout Colorado pumpkin patch September through October 31..",,,39.802338336150385,-105.0346352841596
,Montrose,Straw Hat Farm Market & Kitchen Store,514 S. 1st Street,,Montrose,CO,81401,(970) 417-4744,No,strawhatfarmmarket@gmail.com,strawhatfarmmarket.com,Straw Hat Farm Market & Kitchen Store,,"Just west of Park Ave. on S. 1st Street, in downtown Montrose.",January|February|March|April|May|June|July|August|September|October|November|December,2|3|4|5|6,,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m. ,10 a.m. - 4 p.m. ,,Roadside Market,,,No,No,Yes,,Apples|Apricots|Asparagus|Beets|Bell Peppers|Cantaloupe|Cherries|Chile Peppers|Cucumbers,Eggplant|Garlic|Green Beans|Herbs|Kale|Lettuce|Nectarines|Peaches|Pears,Peas|Pinto Beans|Plums|Potatoes|Rhubarb|Spinach|Squash|Sweet Corn|Tomatoes|Turnips|Zucchini,,,,,,Baked Goods|Cheese|Eggs|Honey|Jams|Jellies|Popcorn,Cider|Juices |Handcrafted Gifts,,"A local foodie favorite for all things fresh - local produce, eggs, and wholesome baked goods, plus a large selection of kitchen tools.",,,38.47961699999999,-107.87415299999999
,Arapahoe,Tagawa Gardens,7711 S Parker Rd,,Centennial,CO,80016,(303) 690-4722,No,beth@tagawagardens.com,https://tagawagardens.com/,https://www.facebook.com/TagawaGardens,https://www.instagram.com/tagawagardens/,,January|February|March|April|May|June|July|August|September|October|November|December,8,,,,,,,,Garden Center|Greenhouse,Christmas Trees|Event Facilities|Tours,,No,No,Yes,,,,,,,,,,,,,"Tagawa Gardens has been helping our community grow with great plants and great people, since 1982! Everything for the garden, plus indoor plants, planting and garden maintenance services, gifts, seasonal fresh produce, frozen pies, plus classes, events, and workshops for the public and for private groups by appointment.",,,39.57672600000001,-104.795874
,Mesa,Talon Wines,3701 G Road,,Palisade,CO,81526,(970) 464-1300,No,media@talonwinebrands.com,https://www.talonwines.com/,https://www.facebook.com/TalonWines,https://www.instagram.com/talonwines/,,January|February|March|April|May|June|July|August|September|October|November|December,8,,,,,,,,Winery,Tours,,No,No,Yes,,,,,,,,,,,Wine|Mead,,"Talon Wines is Colorado's premier producer of award-winning grape, fruit, botanical, and honey wines. Its diverse portfolio spans three distinct labels: Talon Winery, St. Kathryn Cellars, and Meadery of the Rockies. With over 25 wines, there's something for every taste and occasion!",,,39.105801000000014,-108.365814
,El Paso,The Backyard Market in Black Forest ,6845 Shoup Rd ,,Colorado Springs,CO,80908,,No,theda@thebackyardmarkets.com,thebackyardmarkets.com,@backyardmarketinbf,@backyardmarketinbf,,May|June|July|August|September|October,6,,,,,,9am-1pm,,Farmers' Market,,,No,Yes,Yes,,Apples|Apricots|Asparagus|Beets|Bell Peppers|Broccoli|Brussels Sprouts|Cabbage|Cantaloupe|Carrots|Cauliflower|Celery|Cherries|Chile Peppers|Chile - Roasted|Cucumbers,Eggplant|Garlic|Grapes|Green Beans|Herbs|Honeydew|Kale|Leeks|Lettuce|Microgreens|Mushrooms|Nectarines|Okra|Onions|Peaches|Pears,Peas|Pinto Beans|Plums|Potatoes|Pumpkins|Radishes|Raspberries|Rhubarb|Spinach|Squash|Strawberries|Sweet Corn|Tomatoes|Turnips|Watermelon|Zucchini,"corn, ",Beef|Buffalo|Lamb|Pork|Poultry|Sausage,,"Wild Caught Atlantic Salmon, Black Cod, and Halibut ",,Baked Goods|Cheese|Eggs|Honey|Jams|Jellies|Pickles|Popcorn,Cider|Juices,"tortillas, salsa, granola, juice, milk, goat milk, cured meats, sherbet, pasta, pasta sauce, quinoa, nut butters, ","Located in beautiful Black Forest the farmers market hosts over 60 vendors each week with live music, a free educational kids corner activity,  Food trucks, and more.",,,39.012471000000005,-104.6998125
,Montezuma,The County With The Bounty & Wild West Excursions,100 N Pinon Drive,Road M,Cortez,CO,81321,(970) 739-1700,No,ride@wildwestexcursions.com,https://CountyWithTheBounty.com,https://facebook.com/thecounty withthe bounty,https://instagram.com/countywiththebounty,,January|February|March|April|May|June|July|August|September|October|November|December,1|2|3|4|5|6|7|8,10 am - 6 pm,10 am - 6 pm,10 am - 6 pm,10 am - 6 pm,10 am - 6 pm,10 am - 6 pm,10 am - 6 pm,Agritourism|On-Farm/Ranch sales|Roadside Market,Event Facilities|Fishing|Horseback Riding|Pack Trips|Tours|Hunting,,No,No,No,,Apples|Apricots|Cabbage|Carrots|Chile Peppers|Chile - Roasted|Cucumbers|Cherries,Garlic|Lettuce|Mushrooms|Onions|Peaches,Pinto Beans|Potatoes|Spinach|Tomatoes,"USDA Local Black Angus Beef, Heritage Berkshire Pork, Premium Lamb, Local Chicken",Beef|Lamb|Pork|Poultry|Sausage|Jerky,,,"Organs, Bones, Kidney Fat, Beef Fat, Pork Fat",Baked Goods|Eggs|Honey|Jams|Jellies|Popcorn|Cheese|Pickles,Handcrafted Gifts|Cider,"Local Milled Flour, Wheat, Sourdough Breads","The County With The Bounty offers Locally sourced food and gift products crafted by local farmers and ranchers.  
We are Ranchers, Farmers and Colorado Proud.  Agritourism tours and Adventures are offered by Wild West Excursions our Parent Company.  WildWestExcursions.com for Pack Goat Hikes, Horseback Rides, Mesa Verde NP",,10 am - 6 pm,37.349892,-108.590013
,Mesa,The High Lonesome Ranch,0275 CR 222,,De Beque,CO,81630,(970) 283-9420,Yes,ace@thehighlonesomeranch.com,https://thehighlonesomeranch.com/,The High Lonesome Ranch,The High Lonesome Ranch,,December|November|October|August|July|June|May|April|March|February|January|September,5|4|3|2|1,8am to 6pm,8am to 6pm,8am to 6pm,8am to 6pm,8am to 6pm,,,Centennial Farm/Ranch|On-Farm/Ranch sales,Event Facilities,,No,No,Yes,,,,,,,,,,,,,"At High Lonesome Ranch, our mission is to steward the land, care for our animals, and nourish our community with integrity. Through regenerative ranching practices and a deep respect for nature, we aim to raise exceptional grass-finished beef while preserving the health of our soil, water, and ecosystems for generations.",,,39.37971941735433,-108.36373416735069
,Delta,The Storm Cellar,14139 Runzel Gulch Road,,Hotchkiss,CO,81419,(970) 589-3142,No,hello@stormcellarwine.com,https://stormcellarwine.com,https://www.facebook.com/stormcellarwine,https://www.instagram.com/stormcellarwine,,May|June|July|August|September|October,4|5|6|7,,,,12 p.m. - 7 p.m.,12 p.m. - 7 p.m.,12 p.m. - 7 p.m.,12 p.m. - 7 p.m.,Winery|Agritourism,,"Wine Dinners, Chef Pop-Ups, Workshops",No,No,No,,,,,,,,,,,,,"The Storm Cellar is a boutique winery, specializing in white, rosé, and sparkling wines. We also offer a selection of non-alcoholic beverages for our guests. We frequently host chef dinners and pop-ups at our outdoor tasting room. Please check our website for details.","100% Colorado-grown white, rosÃ©, and sparkling wines",,38.85943499999999,-107.653707
,Pueblo,Three Sisters Farm & Dairy,2043 53rd lane,,Boone,CO,81025,(719) 240-4996,,threesistersfarm7r@yahoo.com,threesistersfarmanddairy.com,https://www.facebook.com/ThreeSistersFarm7R/#,,,January|February|March|April|May|June|July|August|September|October|November|December,1|2|3|4|5|6|7|8,Check our website / FB page for events and hours ,Check our website / FB page for events and hours,Check our website / FB page for events and hours,Check our website / FB page for events and hours,Check our website / FB page for events and hours,Check our website / FB page for events and hours,Check our website / FB page for events and hours,Community Gardens|Agritourism|CSA Farm|Greenhouse|On-Farm/Ranch sales|Roadside Market|U-pick,Corn Maze|Event Facilities|Pumpkin Patch|Tours,,No,Yes,Yes,,,,,,,,,,,,,"Three Sisters Farm & Dairy specializes in all things wholesome from the pasture, garden, dairy barn and chicken coop.  We love sharing our produce, eggs, and meat products and we are passionate about teaching people more about the food they eat.

Whether you enjoy farm fresh eggs, want fresh produce that you pick your",,,38.21194800000001,-104.299542
,Montrose,Uncompahgre Farms,1029 6400 Rd,,Montrose,CO,81403,(305) 216-4682,Yes,uncofarm@gmail.com,www.uncofarms.com,,,,January|February|March|April|December|November|October|September|August|July|June|May,8,,,,,,,,On-Farm/Ranch sales,,,No,No,No,,,,,,Beef|Lamb|Poultry,,,,Eggs,,,"Uncompahgre Farms is a first-generation regenerative ranch in Montrose, Colorado, raising beef, lamb, eggs, and milk on pasture. Through rotational grazing and soil-focused stewardship, we provide nutrient-dense, responsibly raised food directly to our local community.",,9-Jul,38.46510000000001,-107.894214
,Mesa,Whitewater Hill Vineyards,220 32 Road,,Grand Junction,CO,81503,(970) 434-6868,No,info@whitewaterhill.com,whitewaterhill.com,facebook.com/whitewaterhill,instagram.com/whitewaterhillvineyards,,January|February|March|April|May|June|July|August|September|October|November|December,1|2|3|4|5|6|7|8,10 a.m. - 5:45 p.m.,10 a.m. - 5:45 p.m.,10 a.m. - 5:45 p.m.,10 a.m. - 5:45 p.m.,10 a.m. - 5:45 p.m.,10 a.m. - 5:45 p.m.,10 a.m. - 5:45 p.m.,Agritourism|Winery,Event Facilities,,No,No,Yes,,,,,,,,,,,,,"Colorado Wine Made With Colorado Grapes! A wine for every palate with tastings held right where we grow and make it. Dog friendly, people friendly, and place oriented. Enjoy amazing views of the valley during your guided wine tasting - experience ColoRADo agritourism! Check out our website for more!","Dry whites, dry reds, semi-sweets, and dessert wines.",10 a.m. - 5:45 p.m.,39.036078,-108.45819
,El Paso,Colorado Farm and Art Market,"7350 Pine Creek Road, Colorado Springs, CO 80919, USA",,Colorado Springs,CO,80905,(719) 640-6154,No,farmandartmarket@gmail.com,,,,,June|July|August|September|October,6,,,,,,10am-2pm,,Farmers' Market,,,No,No,Yes,,Cherries|Apples|Apricots|Beets|Bell Peppers|Broccoli|Cabbage|Carrots|Cauliflower|Chile Peppers|Chile - Roasted|Cucumbers|Cantaloupe,Eggplant|Garlic|Green Beans|Herbs|Honeydew|Kale|Leeks|Lettuce|Mushrooms|Nectarines|Onions|Peaches|Pears,Plums|Potatoes|Pumpkins|Radishes|Rhubarb|Spinach|Squash|Sweet Corn|Tomatoes|Turnips|Watermelon|Zucchini,,Beef|Poultry|Pork|Jerky|Lamb|Sausage,,,,Baked Goods|Cheese|Eggs|Honey|Jams|Jellies|Pickles,,,,,,38.93780699999999,-104.814981
,Larimer,Loveland West Farmers Market at JAX, 2665 W Eisenhower Blvd,,Loveland,CO,80537,(970) 231-2020,Yes,treatsbyagnes@hotmail.com,,https://www.facebook.com/LovelandWestFarmersMarket/,https://www.instagram.com/loveland.west.farmers.market/,"The market is open from April 22nd to November 3rd and is located in the JAX West parking lot, where plenty of parking is available. Rain or shine, stop by to enjoy breakfast or lunch while exploring our offerings. Don't miss our monthly specials! Plus, during summer break, we host a kids' program.",April|May|June|July|August|September|October|November,2,,9 a.m. - 1 p.m. ,,,,,,Farmers' Market,,,No,Yes,Yes,,Apples|Apricots|Asparagus|Beets|Bell Peppers|Broccoli|Brussels Sprouts|Cabbage|Cantaloupe|Carrots|Cauliflower|Celery|Cherries|Chile Peppers|Chile - Roasted|Cucumbers,Eggplant|Garlic|Green Beans|Herbs|Honeydew|Kale|Leeks|Lettuce|Microgreens|Mushrooms|Nectarines|Okra|Onions|Peaches|Pears,Peas|Pinto Beans|Plums|Potatoes|Pumpkins|Radishes|Raspberries|Rhubarb|Spinach|Squash|Strawberries|Sweet Corn|Tomatoes|Turnips|Watermelon|Zucchini,Corn,Beef|Pork|Sausage,,,,Baked Goods|Eggs|Honey|Jams|Jellies|Pickles|Popcorn,Handcrafted Gifts,"Hot Sauce, Tamales, House Plants, Dumplings, GF Items, Ice Cream, Snow Cones, Face Painting","The market is open from April 22nd to November 3rd and is located in the JAX West parking lot, where plenty of parking is available. Rain or shine, stop by to enjoy breakfast or lunch while exploring our offerings. Don't miss our monthly specials! Plus, during summer break, we host a kids' program.",,,40.40743719427048,-105.11302420486611
,El Paso,Southeast Farmers Market,2050 Jet Wing Drive,,Colorado Springs,CO,80916,(719) 491-2746,,sonya.sefc@gmail.com,,,,,June|July|September|August|October,7,,,,,,,11am-3pm,Farmers' Market,,,No,No,Yes,,Apples|Apricots|Beets|Bell Peppers|Broccoli|Cabbage|Cantaloupe|Carrots|Cauliflower|Cherries|Chile Peppers|Chile - Roasted|Cucumbers,Eggplant|Garlic|Green Beans|Herbs|Honeydew|Kale|Leeks|Lettuce|Mushrooms|Nectarines|Onions|Peaches|Pears,Plums|Potatoes|Pumpkins|Radishes|Rhubarb|Spinach|Squash|Tomatoes|Turnips|Watermelon|Zucchini,,Beef|Jerky|Lamb|Pork|Poultry,,,,Baked Goods|Eggs|Cheese|Honey|Jams|Jellies|Pickles,,,,,,38.80170609195172,-104.75033733075064
,Cheyenne,Rehfeld Ranch Raised,4790 County Road 55,,Arapahoe,CO,80802,(719) 340-8080,,ronald.rehfeld@gmail.com,,,,,January|February|March|April|May|June|July|August|September|October|November|December,8,,,,,,,,On-Farm/Ranch sales,,,No,No,No,,,,,,,,,,,,,"Whole and half beef sales. Delivered to a custom processing plant. Delivery available to Eastern Colorado and the Front Range. Raised on grass, finished on corn, silage and ground hay. Meat You Can Eat. Just Corn and Time.",,,38.67654778800005,-102.26231278899996
,Denver,City Park Farmers Market,2551 E Colfax Ave,,Denver,CO,80206,,No,cityparkfarmersmarket@gmail.com,https://www.cityparkfarmersmarket.com/,https://www.facebook.com/cityparkfarmersmarket/,@cityparkfarmersmarket,,May|June|July|August|September|October,6,,,,,,8am - 1pm,,Farmers' Market,,,No,Yes,Yes,na,Apples|Apricots|Asparagus|Beets|Bell Peppers|Broccoli|Brussels Sprouts|Cabbage|Cantaloupe|Carrots|Cauliflower|Celery|Cherries|Chile Peppers|Chile - Roasted|Cucumbers,Eggplant|Garlic|Green Beans|Herbs|Grapes|Honeydew|Kale|Leeks|Lettuce|Microgreens|Mushrooms|Nectarines|Okra|Onions|Peaches|Pears,Peas|Pinto Beans|Plums|Potatoes|Pumpkins|Radishes|Raspberries|Rhubarb|Spinach|Squash|Strawberries|Sweet Corn|Tomatoes|Turnips|Watermelon|Zucchini,,Beef|Lamb|Pork|Poultry|Sausage,,,,Baked Goods|Cheese|Eggs|Honey|Jams|Jellies|Pickles|Popcorn,Cider,,"The City Park Farmers Market is a growers-focused market that runs on Saturdays (Mayâ€“October) at City Park in Denver. With 100+ local vendors, fresh produce, meats, dairy, baked goods, local packaged food, and prepared food. It accepts SNAP and DUFB.",,,39.740255285000046,-104.95638294799994
,Montrose,Montrose Farmers Market,Centennial Plaza,,Montrose,CO,81401,(970) 249-0705,,office@valleyfoodpartnership.org,www.valleyfoodpartnership.org,https://www.facebook.com/MontroseFarmersMarket,https://www.instagram.com/montrosecoloradofarmersmarket/?hl=en,,January|February|March|April|May|June|July|August|September|November|October|December,6,,,,,,"Summer Season: 9 am - 1 pm, Winter Season: 10 am - 1 pm",,Farmers' Market,,,No,Yes,Yes,,Apples|Apricots|Asparagus|Beets|Bell Peppers|Broccoli|Cabbage|Cantaloupe|Carrots|Cauliflower|Celery|Cherries|Chile Peppers|Chile - Roasted|Cucumbers,Eggplant|Garlic|Grapes|Green Beans|Herbs|Honeydew|Kale|Leeks|Microgreens|Mushrooms|Onions|Nectarines|Peaches|Pears,Peas|Pinto Beans|Plums|Potatoes|Pumpkins|Radishes|Rhubarb|Spinach|Squash|Sweet Corn|Tomatoes|Turnips|Watermelon|Zucchini,,Beef|Pork|Poultry|Sausage,,,,Baked Goods|Cheese|Eggs|Honey|Jams|Jellies|Pickles,Cider|Juices|Handcrafted Gifts,,"The Montrose Farmers Market is a year-round market featuring farmers, ranchers, producers, and artisans of the Western Slope. Our mission is to connect local producers to local people, provide food access services (SNAP and Double Up Food Bucks), help to incubate new businesses and producers, and support community building.",,,38.47814846800003,-107.86221239799994
,Summit,Breckenridge Sunday Market,505 S Main Street,Main Street Station,Breckenridge,CO,80424,(970) 471-9029,No,info@rockymtnevents.com,https://rockymountainevents.com/,Breckenridge Sunday Market,brecksundaymarket,,June|July|August|September,7,,,,,,,10:00am - 3:00pm,Farmers' Market,,,No,No,Yes,,Apples|Apricots|Asparagus|Beets|Bell Peppers|Broccoli|Brussels Sprouts|Cabbage|Cantaloupe|Carrots|Cauliflower|Cherries|Chile Peppers|Chile - Roasted|Cucumbers,Green Beans|Herbs|Kale|Lettuce|Nectarines|Onions|Peaches,Peas|Plums|Potatoes|Spinach|Squash|Tomatoes|Zucchini,,Beef|Buffalo|Jerky|Sausage,,,,Baked Goods|Cheese|Eggs|Honey|Jams|Pickles|Jellies|Popcorn,Juices | Handcrafted Gifts,,,,,39.47679420900005,-106.04489474799999
,Ouray,Ridgway Farmers Market,Hartwell Park,,Ridgway,CO,81432,(970) 497-0755,,manager@ridgwayfarmersmarket.com,www.ridgwayfarmersmarket.com,https://www.facebook.com/RidgwayFarmersMarket,https://www.instagram.com/ridgway_farmersmarket/,,May|June|July|August|September|October,5,,,,,10 a.m. - 2 p.m.,,,Farmers' Market,,,No,Yes,Yes,,,,,,,,,,,,,"Ridgway Farmers Market is a vibrant weekly market in Ridgway, Colorado, featuring local farmers, ranchers, food producers, and artisans. Weâ€™re dedicated to fresh food, handmade goods, and building strong community connections through local commerce.",,,38.08930451900005,-107.71635496399995
