Business Name,Category,Address,City,County,State,Zip,Phone,Call first?,Website,Email,Facebook,Instagram,Hours,Months Open,Products,Certified Organic,SNAP,ADA Accessible,Notes,Latitude,Longitude,Source,Geo Source,Possible Dup Of,Provenance
The Delta Farmers Market & Bazaar,Farmers' Market,2195 Southgate Lane,Delta,Delta,CO,81416,(970) 549-7151,No,https://www.deltacofarmersmarket.com/,deltacofarmersmarket@gmail.com,https://www.facebook.com/groups/246038845197062,,Wed: 8:30 am -1 pm; Sat: 8:30 am - 1 pm,"May, June, July, August, September, October","Apples, Apricots, Asparagus, Beets, Bell Peppers, Broccoli, Brussels Sprouts, Cabbage, Cantaloupe, Carrots, Cauliflower, Cherries, Chile Peppers, Chile - Roasted, Cucumbers, Garlic, Grapes, Green Beans, Herbs, Honeydew, Kale, Leeks, Lettuce, Microgreens, Mushrooms, Onions, Peaches, Pears, Eggplant, Pinto Beans, Plums, Potatoes, Pumpkins, Radishes, Raspberries, Rhubarb, Spinach, Squash, Strawberries, Sweet Corn, Tomatoes, Turnips, Watermelon, Zucchini, All produce available here on the Western Slope, Baked Goods, Eggs, Honey, Jams, Jellies, Pickles, Popcorn, Juices, Handcrafted Gifts, Antiques, collectibles, handcrafted jewelry, artwork, aprons, natural bath & body, woodworking, 3-d printing, wreaths, plants, flowers.",No,No,Yes,"All products are grown, harvested, created, curated or produced in our local area, featuring small growers and producers. We offer handcrafted gifts, antiques & collectibles. Many local small businesses are on-site.",38.71781100000001,-108.054999,colorado_proud,source,,"{""Business Name"":""colorado_proud"",""Address"":""colorado_proud"",""City"":""colorado_proud"",""County"":""colorado_proud"",""Zip"":""colorado_proud"",""Phone"":""colorado_proud"",""Website"":""colorado_proud"",""Email"":""colorado_proud"",""Facebook"":""colorado_proud"",""Hours"":""colorado_proud"",""Months Open"":""colorado_proud"",""Products"":""colorado_proud"",""Certified Organic"":""colorado_proud"",""SNAP"":""colorado_proud"",""ADA Accessible"":""colorado_proud"",""Notes"":""colorado_proud""}"
Broadway Farmers' Market,Farmers' Market,23 Lincoln St.,Denver,Denver,CO,80203,(303) 242-1032,,,,,,,,,,,,,39.717045228578094,-104.98624945096843,usda,source,,"{""Business Name"":""usda"",""Address"":""usda"",""City"":""usda"",""Zip"":""usda"",""Phone"":""usda"",""County"":""census-geocoder""}"
Cherry Creek Fresh Market,Farmers' Market,1st Ave. & University Blvd.,Denver,Denver,CO,80308,(303) 442-1837,,http://www.coloradofreshmarkets.com,freshmarkets@qwest.net,,,,,,,,,,39.71817998668095,-104.95906998634295,usda,source,,"{""Business Name"":""usda"",""Address"":""usda"",""City"":""usda"",""Zip"":""usda"",""Phone"":""usda"",""Email"":""usda"",""Website"":""usda"",""County"":""census-geocoder""}"
Cherry Creek Valley International Farmers Market,Farmers' Market,710 S. Ash St.,Denver,Arapahoe,CO,80246,(303) 997-2214,,https://www.localharvestfoods.com/,,https://www.facebook.com/pages/local-harvest-foods/321786756591?ref=ts#!/pages/local-harvest-foods/32,,,,,,,,,39.70371318055,-104.93817456399742,usda,source,,"{""Business Name"":""usda"",""Address"":""usda"",""City"":""usda"",""Zip"":""usda"",""Phone"":""usda"",""Website"":""usda"",""Facebook"":""usda"",""County"":""census-geocoder""}"
City Park Farmers Market,Farmers' Market,2551 E Colfax Ave,Denver,Denver,CO,80206,(303) 442-1837,No,https://www.cityparkfarmersmarket.com/,cityparkfarmersmarket@gmail.com,https://www.facebook.com/cityparkfarmersmarket/,@cityparkfarmersmarket,Sat: 8am - 1pm,"May, June, July, August, September, October","Apples, Apricots, Asparagus, Beets, Bell Peppers, Broccoli, Brussels Sprouts, Cabbage, Cantaloupe, Carrots, Cauliflower, Celery, Cherries, Chile Peppers, Chile - Roasted, Cucumbers, Eggplant, Garlic, Green Beans, Herbs, Grapes, Honeydew, Kale, Leeks, Lettuce, Microgreens, Mushrooms, Nectarines, Okra, Onions, Peaches, Pears, Peas, Pinto Beans, Plums, Potatoes, Pumpkins, Radishes, Raspberries, Rhubarb, Spinach, Squash, Strawberries, Sweet Corn, Tomatoes, Turnips, Watermelon, Zucchini, Beef, Lamb, Pork, Poultry, Sausage, Baked Goods, Cheese, Eggs, Honey, Jams, Jellies, Pickles, Popcorn, Cider",No,Yes,Yes,"The City Park Farmers Market is a growers-focused market that runs on Saturdays (Mayâ€“October) at City Park in Denver. With 100+ local vendors, fresh produce, meats, dairy, baked goods, local packaged food, and prepared food. It accepts SNAP and DUFB.",39.740255285000046,-104.95638294799994,colorado_proud+usda,source,,"{""Business Name"":""colorado_proud"",""Address"":""colorado_proud"",""City"":""colorado_proud"",""County"":""colorado_proud"",""Zip"":""colorado_proud"",""Website"":""colorado_proud"",""Email"":""colorado_proud"",""Facebook"":""colorado_proud"",""Instagram"":""colorado_proud"",""Hours"":""colorado_proud"",""Months Open"":""colorado_proud"",""Products"":""colorado_proud"",""Certified Organic"":""colorado_proud"",""SNAP"":""colorado_proud"",""ADA Accessible"":""colorado_proud"",""Notes"":""colorado_proud"",""Phone"":""usda""}"
Farmers' Market at Highlands Square,Farmers' Market,3489 W. 32nd Ave.,Denver,Denver,CO,80211,(303) 734-0718,,http://www.highlands-square.com,highlandmerchants@gmail.com,https://www.facebook.com/FarmersMarketAtHighlandsSquare,,,,,,,,,39.76213805428507,-105.0333337587567,usda,source,,"{""Business Name"":""usda"",""Address"":""usda"",""City"":""usda"",""Zip"":""usda"",""Phone"":""usda"",""Email"":""usda"",""Website"":""usda"",""Facebook"":""usda"",""County"":""census-geocoder""}"
Feed Denver: Urban Farms & Markets,Farmers' Market,2139 W. 44th Avenue,Denver,Denver,CO,80211,(303) 513-7548,,https://www.feeddenver.com/,,https://www.facebook.com/FeedDenver,,,,,,,,,39.77656483771201,-105.01284379998835,usda,source,,"{""Business Name"":""usda"",""Address"":""usda"",""City"":""usda"",""Zip"":""usda"",""Phone"":""usda"",""Website"":""usda"",""Facebook"":""usda"",""County"":""census-geocoder""}"
Golden Triangle Farmers Market,Farmers' Market,1112 Broadway,Denver,Denver,CO,80203,(720) 523-3331,,,,,,,,,,,,,39.734113732523916,-104.9874017794336,usda,source,,"{""Business Name"":""usda"",""Address"":""usda"",""City"":""usda"",""Zip"":""usda"",""Phone"":""usda"",""County"":""census-geocoder""}"
Green Vally Ranch NE Denver Farmers Market (Presented by Grateful Garden llc),Farmers' Market,4890 argonne way,Denver,Denver,CO,80249,(720) 619-0619,No,https://Gvrfarmersmarket.com,katrina@gratefulgardenllc.com,https://www.facebook.com/GVRFarmersMarket,https://www.instagram.com/gvrfarmersmarket,Wed: 5pm-8pm,"June, July, August","Apples, Asparagus, Beets, Cabbage, Cherries, Chile Peppers, Chile - Roasted, Cucumbers, Eggplant, Garlic, Green Beans, Herbs, Kale, Leeks, Lettuce, Microgreens, Mushrooms, Peaches, Peas, Radishes, Rhubarb, Spinach, Squash, Tomatoes, Beef, Buffalo, Jerky, Lamb, Pork, Poultry, Sausage, Baked Goods, Cheese, Eggs, Honey, Jams, Jellies, Pickles, Popcorn, Cider, Juices",No,Yes,Yes,"Urban farms, fresh eggs and FREE LIVE MUSIC and Family Friendly ENTERTAINMENT. Local businesses",39.78558000000001,-104.76711449999999,colorado_proud,source,,"{""Business Name"":""colorado_proud"",""Address"":""colorado_proud"",""City"":""colorado_proud"",""County"":""colorado_proud"",""Zip"":""colorado_proud"",""Phone"":""colorado_proud"",""Website"":""colorado_proud"",""Email"":""colorado_proud"",""Facebook"":""colorado_proud"",""Instagram"":""colorado_proud"",""Hours"":""colorado_proud"",""Months Open"":""colorado_proud"",""Products"":""colorado_proud"",""Certified Organic"":""colorado_proud"",""SNAP"":""colorado_proud"",""ADA Accessible"":""colorado_proud"",""Notes"":""colorado_proud""}"
Highland Farmers' Market,Farmers' Market,1576 Boulder St.,Denver,Denver,CO,80211,(303) 734-0718,,,farmersmarket@denverhighland.org,https://www.facebook.com/DenverHighlandFarmersMarket/,,,,,,,,,39.7589904750732,-105.01082234517108,usda,source,,"{""Business Name"":""usda"",""Address"":""usda"",""City"":""usda"",""Zip"":""usda"",""Phone"":""usda"",""Email"":""usda"",""Facebook"":""usda"",""County"":""census-geocoder""}"
Larimer Street Market,Farmers' Market,2301 Larimer St,Denver,Denver,CO,80205,(303) 534-5140,,http://www.LarimerStreetMarket.com,,,,,,,,,,,39.75584225413244,-104.98886187325867,usda,source,,"{""Business Name"":""usda"",""Address"":""usda"",""City"":""usda"",""Zip"":""usda"",""Phone"":""usda"",""Website"":""usda"",""County"":""census-geocoder""}"
Lowry Farmers' Market,Farmers' Market,7581 E. Academy Blvd.,Denver,Denver,CO,80230,(303) 587-8721,,http://www.hangar2lowry.com/farmers-market,wilson@eventfulpro.com,,,,,,,,,,39.72019499620433,-104.89701498527872,usda,source,,"{""Business Name"":""usda"",""Address"":""usda"",""City"":""usda"",""Zip"":""usda"",""Phone"":""usda"",""Email"":""usda"",""Website"":""usda"",""County"":""census-geocoder""}"
National Celiac Association of Denver,Farmers' Market,PO Box 221742 APT 127,Denver,Denver,CO,80222,(970) 978-2329,Yes,https://www.denverceliacs.org,,https://www.facebook.com/DenverCeliacs,@denverceliacs,"Sat: 9:00 AM-1:00 PM Second Saturday of each month except May, November,December, January, February, March, April","June, July, August, September, October",,No,No,Yes,"Mark your calendars for Colorado's only Gluten-Free Farmerâ€™s Market. The farmerâ€™s market will include products from food trucks, small businesses, produce, crafts, art, beauty products, herbs, house plants, canned goods, dog treats, prepared foods, flowers, and more!",39.69922500000001,-104.89788899999999,colorado_proud,source,,"{""Business Name"":""colorado_proud"",""Address"":""colorado_proud"",""City"":""colorado_proud"",""County"":""colorado_proud"",""Zip"":""colorado_proud"",""Phone"":""colorado_proud"",""Website"":""colorado_proud"",""Facebook"":""colorado_proud"",""Instagram"":""colorado_proud"",""Hours"":""colorado_proud"",""Months Open"":""colorado_proud"",""Certified Organic"":""colorado_proud"",""SNAP"":""colorado_proud"",""ADA Accessible"":""colorado_proud"",""Notes"":""colorado_proud""}"
Northfield Farmers Market,Farmers' Market,8340 Northfield Boulevard,Denver,Denver,CO,80238,(303) 375-5475,,https://www.stapletondenver.com/whats-happening/stapleton-farmers-market-every-sunday-36043,,,,,,,,,,,39.78527660512828,-104.8910088657402,usda,source,,"{""Business Name"":""usda"",""Address"":""usda"",""City"":""usda"",""Zip"":""usda"",""Phone"":""usda"",""Website"":""usda"",""County"":""census-geocoder""}"
Old South Pearl Street Association - Farmers Market,Farmers' Market,1500 block of South Pearl Street,Denver,Denver,CO,80210,(037) 340-1718,,https://www.oldsouthpearlstreet.com/,Nicole@HobNobEvents.com,https://facebook.com/SouthPearlStreet,,,,,,,,,39.688466486292995,-104.98036451482919,usda,source,,"{""Business Name"":""usda"",""Address"":""usda"",""City"":""usda"",""Zip"":""usda"",""Phone"":""usda"",""Website"":""usda"",""Email"":""usda"",""Facebook"":""usda"",""County"":""census-geocoder""}"
Stapleton Farmers' Market,Farmers' Market,E. 29th Ave. & Roslyn St.,Denver,Denver,CO,80238,(303) 442-1837,,https://www.coloradofreshmarkets.com/,freshmarkets@comcast.net*hello@coloradofreshmarkets.com,,,,,,,,,,39.757699989600894,-104.90050998744579,usda,source,,"{""Business Name"":""usda"",""Address"":""usda"",""City"":""usda"",""Zip"":""usda"",""Phone"":""usda"",""Email"":""usda"",""Website"":""usda"",""County"":""census-geocoder""}"
Tiri's Garden Farmers Market,Farmers' Market,1522 California St,Denver,Denver,CO,80202,(303) 605-2885,,http://www.concertsforkids.org,,,,,,,,,,,39.744499104821784,-104.9930815957288,usda,source,,"{""Business Name"":""usda"",""Address"":""usda"",""City"":""usda"",""Zip"":""usda"",""Phone"":""usda"",""Website"":""usda"",""County"":""census-geocoder""}"
Union Station Farmers Market,Farmers' Market,1701 Wynkoop St.,Denver,Denver,CO,80202,(800) 872-7245,,https://www.bcfm.org/union-station-farmers-marke,community@bcfm.org,https://facebook.com/BoulderCountyFarmersMarkets,,,,,,,,,39.75278314431321,-104.99983322503695,usda,source,,"{""Business Name"":""usda"",""Address"":""usda"",""City"":""usda"",""Zip"":""usda"",""Phone"":""usda"",""Email"":""usda"",""Website"":""usda"",""Facebook"":""usda"",""County"":""census-geocoder""}"
Urban Farmers' Market,Farmers' Market,16th St. Mall and Arapahoe,Denver,Denver,CO,80202,(720) 272-7467,,http://urbanmarketdenver.com/,Email not found,,,,,,,,,,39.747849996084284,-104.99566998565368,usda,source,,"{""Business Name"":""usda"",""Address"":""usda"",""City"":""usda"",""Zip"":""usda"",""Phone"":""usda"",""Email"":""usda"",""Website"":""usda"",""County"":""census-geocoder""}"
Dillon Farmers Market,Farmers' Market,275 LaBonte Street,Dillon,Summit,CO,80435,(970) 468-2403,No,https://www.townofdillon.com/events/dillon-farmers-market,farmersmarket@townofdillon.com,https://www.facebook.com/dillonfarmersmarket,https://www.instagram.com/dillonfarmersmarket/,Fri: 9 a.m. to 2 p.m.,"June, July, August, September","Peaches, Mushrooms, Sweet Corn, Buffalo, Beef, Jerky, Baked Goods, Cheese, Honey, Jams, Jellies, Pickles, Popcorn, Juices, Handcrafted Gifts",No,No,Yes,"Join us Fridays from June 5 through September 25, as 100+ vendors offer Colorado produce, cheeses, treats, gifts and more at the Dillon Farmers Market. Live music and food trucks add to a fun atmosphere for all ages.",39.629128096000045,-106.04338499099998,colorado_proud,source,,"{""Business Name"":""colorado_proud"",""Address"":""colorado_proud"",""City"":""colorado_proud"",""County"":""colorado_proud"",""Zip"":""colorado_proud"",""Phone"":""colorado_proud"",""Website"":""colorado_proud"",""Email"":""colorado_proud"",""Facebook"":""colorado_proud"",""Instagram"":""colorado_proud"",""Hours"":""colorado_proud"",""Months Open"":""colorado_proud"",""Products"":""colorado_proud"",""Certified Organic"":""colorado_proud"",""SNAP"":""colorado_proud"",""ADA Accessible"":""colorado_proud"",""Notes"":""colorado_proud""}"
Durango Farmers Market,Farmers' Market,259 W. 9th Street,Durango,La Plata,CO,81301,(970) 335-8223,No,https://www.durangofarmersmarket.com,director@durangofarmersmarket.com,https://www.facebook.com/durangofarmersmarket,@durangofarmers,Sat: 8 AM - 12 PM (May-Sep.) 9 AM - 12 PM (Oct.),"October, September, August, July, June, May","Apples, Apricots, Asparagus, Beets, Bell Peppers, Broccoli, Brussels Sprouts, Cabbage, Cantaloupe, Carrots, Cauliflower, Celery, Cherries, Chile Peppers, Chile - Roasted, Cucumbers, Eggplant, Garlic, Green Beans, Herbs, Honeydew, Kale, Leeks, Lettuce, Microgreens, Mushrooms, Okra, Onions, Peaches, Pears, Peas, Potatoes, Pumpkins, Radishes, Raspberries, Rhubarb, Spinach, Squash, Strawberries, Tomatoes, Turnips, Watermelon, Zucchini, Beef, Lamb, Pork, Poultry, Sausage, Baked Goods, Cheese, Eggs, Honey, Jams, Jellies, Pickles, Cider, Juices, Mead, Handcrafted Gifts",No,Yes,Yes,"The Durango Farmers Market is a growers market, meaning all vendors who attend the market grew or raised their product.  We also have ready to eat food vendors who must show they are using local ingredients.  Our artisans may not resell any products, all artisan goods must be handmade by the vendor.",37.274252187583635,-107.884298697417,colorado_proud+usda,source,,"{""Business Name"":""colorado_proud"",""Address"":""colorado_proud"",""City"":""colorado_proud"",""County"":""colorado_proud"",""Zip"":""colorado_proud"",""Phone"":""colorado_proud"",""Website"":""colorado_proud"",""Email"":""colorado_proud"",""Facebook"":""colorado_proud"",""Instagram"":""colorado_proud"",""Hours"":""colorado_proud"",""Months Open"":""colorado_proud"",""Products"":""colorado_proud"",""Certified Organic"":""colorado_proud"",""SNAP"":""colorado_proud"",""ADA Accessible"":""colorado_proud"",""Notes"":""usda""}"
City of Edgewater Farmers Market,Farmers' Market,2401 Sheridan Blvd.,Edgewater,Jefferson,CO,80214,(720) 763-3012,,https://www.edgewaterco.com/,lpedroza@edgewaterco.com,,,,,,,,,,39.7513950649243,-105.05323329920806,usda,source,,"{""Business Name"":""usda"",""Address"":""usda"",""City"":""usda"",""Zip"":""usda"",""Phone"":""usda"",""Email"":""usda"",""Website"":""usda"",""County"":""census-geocoder""}"
Eagle Farmers Market,Farmers' Market,275 N Main Street,Edwards,Eagle,CO,81632,(970) 926-7625,,,,,,,,,,,,,39.64234299941097,-106.58966598407815,usda,source,,"{""Business Name"":""usda"",""Address"":""usda"",""City"":""usda"",""Zip"":""usda"",""Phone"":""usda"",""County"":""census-geocoder""}"
Edwards Corner Farmers' Market,Farmers' Market,56 Edwards Village Blvd.,Edwards,Eagle,CO,81632,(970) 926-6226,,http://edwardscornerfarmersmarket.com/,remonov01@hotmail.com,,,,,,,,,,39.643752437640615,-106.59469551190853,usda,source,,"{""Business Name"":""usda"",""Address"":""usda"",""City"":""usda"",""Zip"":""usda"",""Phone"":""usda"",""Email"":""usda"",""Website"":""usda"",""County"":""census-geocoder""}"
Erie Farmers Market,Farmers' Market,515 Briggs St,Erie,Weld,CO,80516,(303) 332-5007,,https://realfarmersmarketco.com/erie-farmers-market/,kellyenterprisesltd@gmail.com,https://www.facebook.com/eriesfarmersmarket/,,,,,,,,,40.049239169846956,-105.04741268150508,usda,source,,"{""Business Name"":""usda"",""Address"":""usda"",""City"":""usda"",""Zip"":""usda"",""Phone"":""usda"",""Email"":""usda"",""Website"":""usda"",""Facebook"":""usda"",""County"":""census-geocoder""}"
Estes Park Farmers Market,Farmers' Market,2200 Mall Rd,Estes Park,Larimer,CO,80517,,,,,,,,,,,,,,40.3732302963579,-105.48318560985749,usda,source,,"{""Business Name"":""usda"",""Address"":""usda"",""City"":""usda"",""Zip"":""usda"",""County"":""census-geocoder""}"
Estes Valley Farmers Market,Farmers' Market,1209 Manford Ave,Estes Park,Larimer,CO,80517,(303) 775-9058,,,,,,,,,,,,,40.37178141454258,-105.50354120293406,usda,source,,"{""Business Name"":""usda"",""Address"":""usda"",""City"":""usda"",""Zip"":""usda"",""Phone"":""usda"",""County"":""census-geocoder""}"
Evergreen Farmers Market THE ORIGINAL,Farmers' Market,28253 Meadow Drive,Evergreen,Jefferson,CO,80439,(303) 525-8062,No,https://www.coloradooutdoormarkets.com,loredanaspesto@aol.com,,@the_og_evergreen_farmersmarket,Tue: 10 am 2 pm,"June, July, September, August",,No,No,Yes,"One of the most charming farmers markets in Colorado!25+ Years!  Dog & Elk Friendly!A picture-perfect farmersâ€™ market, tucked away in the beautiful Colorado mountains. The market shares its space with the beautiful Hiwan Park & trail. Picnic tables, shady pine trees, and a playground!",39.638655,-105.3209115,colorado_proud,source,,"{""Business Name"":""colorado_proud"",""Address"":""colorado_proud"",""City"":""colorado_proud"",""County"":""colorado_proud"",""Zip"":""colorado_proud"",""Phone"":""colorado_proud"",""Website"":""colorado_proud"",""Email"":""colorado_proud"",""Instagram"":""colorado_proud"",""Hours"":""colorado_proud"",""Months Open"":""colorado_proud"",""Certified Organic"":""colorado_proud"",""SNAP"":""colorado_proud"",""ADA Accessible"":""colorado_proud"",""Notes"":""colorado_proud""}"
Fort Collins Farmers' Market,Farmers' Market,Harmony & Lemay,Fort Collins,Larimer,CO,80521,(970) 495-4889,,http://www.fortnet.org/market,fcfm2005@earthlink.net,https://www.facebook.com/pages/Fort-Collins-Farmers-Market-sponsored-by-CAMC/434286586584679,,,,,,,,,40.5237699814717,-105.05806001138784,usda,source,,"{""Business Name"":""usda"",""Address"":""usda"",""City"":""usda"",""Zip"":""usda"",""Phone"":""usda"",""Email"":""usda"",""Website"":""usda"",""Facebook"":""usda"",""County"":""census-geocoder""}"
Fort Collins Winter Farmers Market,Farmers' Market,215 E. Foothills Pkwy,Fort Collins,Larimer,CO,80525,(919) 480-4133,No,https://www.winterfarmersmarket.com/,hello@focowfm.com,@fortcollinsmarkets,@fortcollinsmarkets,Sat: 10am-2pm,"November, December, January, February, March, April","Apples, Beets, Broccoli, Brussels Sprouts, Cabbage, Carrots, Cucumbers, Eggplant, Garlic, Herbs, Kale, Leeks, Microgreens, Mushrooms, Onions, Pinto Beans, Potatoes, Pumpkins, Radishes, Spinach, Squash, Turnips, Beef, Buffalo, Jerky, Lamb, Pork, Poultry, Sausage, crab, salmon, goat, Baked Goods, Cheese, Eggs, Honey, Jams, Jellies, Pickles, Popcorn, Wine, Juices, Handcrafted Gifts, teas, pet treats, freeze dried food, kombucha, tempeh,  hot food.",No,Yes,Yes,"Heading into our 19th season, the Winter Farmers Market hosts 90 local producers a week inside the Foothills mall. Serving fresh produce, local meats and dairy, breads and sweets, local artists, handcrafted goods, and more to our incredible Fort Collins community!",40.54457450505113,-105.07377621874086,colorado_proud,source,,"{""Business Name"":""colorado_proud"",""Address"":""colorado_proud"",""City"":""colorado_proud"",""County"":""colorado_proud"",""Zip"":""colorado_proud"",""Phone"":""colorado_proud"",""Website"":""colorado_proud"",""Email"":""colorado_proud"",""Facebook"":""colorado_proud"",""Instagram"":""colorado_proud"",""Hours"":""colorado_proud"",""Months Open"":""colorado_proud"",""Products"":""colorado_proud"",""Certified Organic"":""colorado_proud"",""SNAP"":""colorado_proud"",""ADA Accessible"":""colorado_proud"",""Notes"":""colorado_proud""}"
Larimer County Farmers' Market,Farmers' Market,200 W. Oak St.,Fort Collins,Larimer,CO,80524,(970) 498-6000,No,https://www.larimer.gov/extension/larimer-county-farmers-market,larimercountyfm@gmail.com,https://www.facebook.com/larimercountyfm,https://www.instagram.com/larimercountyfm,Sat: 9am - 1pm,"May, June, July, August, September, October","Apples, Apricots, Asparagus, Beets, Bell Peppers, Broccoli, Brussels Sprouts, Cabbage, Cantaloupe, Carrots, Cauliflower, Celery, Cherries, Chile Peppers, Chile - Roasted, Cucumbers, Eggplant, Garlic, Green Beans, Kale, Herbs, Leeks, Lettuce, Microgreens, Mushrooms, Nectarines, Onions, Peaches, Pears, Peas, Plums, Pinto Beans, Potatoes, Pumpkins, Radishes, Rhubarb, Spinach, Squash, Sweet Corn, Tomatoes, Turnips, Watermelon, Zucchini, Beef, Buffalo, Lamb, Pork, Poultry, Sausage, Baked Goods, Cheese, Eggs, Honey, Jams, Jellies, Pickles, Cider, Juices, Handcrafted Gifts",No,Yes,Yes,"The oldest farmers' market in northern Colorado, the Larimer County Farmers' Market is celebrating its 50th season in 2026, with over 100 vendors. The LCFM is Fort Collins' flagship market, and operated by the Larimer County CSU Extension Office.",40.58566529570034,-105.07905344519178,colorado_proud,source,,"{""Business Name"":""colorado_proud"",""Address"":""colorado_proud"",""City"":""colorado_proud"",""County"":""colorado_proud"",""Zip"":""colorado_proud"",""Phone"":""colorado_proud"",""Website"":""colorado_proud"",""Email"":""colorado_proud"",""Facebook"":""colorado_proud"",""Instagram"":""colorado_proud"",""Hours"":""colorado_proud"",""Months Open"":""colorado_proud"",""Products"":""colorado_proud"",""Certified Organic"":""colorado_proud"",""SNAP"":""colorado_proud"",""ADA Accessible"":""colorado_proud"",""Notes"":""colorado_proud""}"
Fort Morgan Farmers Market at The Block,Farmers' Market,19592 E. 8th Avenue,Fort Morgan,Morgan,CO,80701,(970) 867-7887,No,https://www.theblock-mc.com,julie@theblock-mc.com,https://www.facebook.com/theblockfortmorgan,https://www.instagram.com/theblockfortmorgan,Sat: 9:00 am - 1:00 pm,"July, August, September, October",,No,No,Yes,"The Fort Morgan Farmers Market is back for it's fourth season at The Block. Experience and celebrate northeastern Colorado's agricultural roots with fresh produce, flowers, locally crafted items and more!",40.258053000001816,-103.7967772342029,colorado_proud,source,,"{""Business Name"":""colorado_proud"",""Address"":""colorado_proud"",""City"":""colorado_proud"",""County"":""colorado_proud"",""Zip"":""colorado_proud"",""Phone"":""colorado_proud"",""Website"":""colorado_proud"",""Email"":""colorado_proud"",""Facebook"":""colorado_proud"",""Instagram"":""colorado_proud"",""Hours"":""colorado_proud"",""Months Open"":""colorado_proud"",""Certified Organic"":""colorado_proud"",""SNAP"":""colorado_proud"",""ADA Accessible"":""colorado_proud"",""Notes"":""colorado_proud""}"
Fountain Farmers Market,Farmers' Market,205 S St,Fountain,El Paso,CO,80817,,,http://localvorecolorado.com,,,,,,,,,,,38.68219144414768,-104.70586738595367,usda,source,,"{""Business Name"":""usda"",""Address"":""usda"",""City"":""usda"",""Zip"":""usda"",""Website"":""usda"",""County"":""census-geocoder""}"
Frederick Farmers Market,Farmers' Market,105 5th Street,Frederick,Weld,CO,80530,(720) 382-5513,,https://www.frederickco.gov/241/finale-fridays-frederick-marke,JHill@FrederickCO.gov,,,,,,,,,,40.09892001752692,-104.94065896838003,usda,source,,"{""Business Name"":""usda"",""Address"":""usda"",""City"":""usda"",""Zip"":""usda"",""Phone"":""usda"",""Email"":""usda"",""Website"":""usda"",""County"":""census-geocoder""}"
Fruita Farmers' Market,Farmers' Market,325 E. Aspen Ave.,Fruita,Mesa,CO,81521,(970) 241-2089,,https://www.fruitafarmersmarket.com/,,,,,,,,,,,39.158882837363485,-108.73101374190955,usda,source,,"{""Business Name"":""usda"",""Address"":""usda"",""City"":""usda"",""Zip"":""usda"",""Phone"":""usda"",""Website"":""usda"",""County"":""census-geocoder""}"
Golden Chamber of Commerce,Farmers' Market,1010 Washington Ave,Golden,Jefferson,CO,80401,(720) 769-2143,Yes,https://goldenfarmersmarket.org/,info@goldenfarmersmarket.org,https://www.facebook.com/https://www.facebook.com/goldenfarmersmarket,https://www.instagram.com/https://www.instagram.com/goldenfarmersmarket,Sat: 8am-1pm,"June, July, August, September, October","Apples, Apricots, Asparagus, Beets, Bell Peppers, Broccoli, Brussels Sprouts, Cabbage, Cantaloupe, Carrots, Cauliflower, Celery, Cherries, Chile Peppers, Chile - Roasted, Cucumbers, Eggplant, Garlic, Green Beans, Herbs, Honeydew, Kale, Leeks, Lettuce, Microgreens, Mushrooms, Nectarines, Onions, Peaches, Pears, Peas, Plums, Potatoes, Pumpkins, Radishes, Raspberries, Spinach, Squash, Strawberries, Sweet Corn, Tomatoes, Turnips, Watermelon, Zucchini, Beef, Baked Goods, Cheese, Eggs, Honey, Jams, Jellies, Pickles, Handcrafted Gifts, Juices, Cider",No,Yes,Yes,"The market takes place in the parking lot west
of the Golden Public Library. We host 70 vendors weekly plus live entertainment.",39.756969,-105.223302,colorado_proud,source,,"{""Business Name"":""colorado_proud"",""Address"":""colorado_proud"",""City"":""colorado_proud"",""County"":""colorado_proud"",""Zip"":""colorado_proud"",""Phone"":""colorado_proud"",""Website"":""colorado_proud"",""Email"":""colorado_proud"",""Facebook"":""colorado_proud"",""Instagram"":""colorado_proud"",""Hours"":""colorado_proud"",""Months Open"":""colorado_proud"",""Products"":""colorado_proud"",""Certified Organic"":""colorado_proud"",""SNAP"":""colorado_proud"",""ADA Accessible"":""colorado_proud"",""Notes"":""colorado_proud""}"
Granby Farmers Market,Farmers' Market,475 E Agate Ave,Granby,Grand,CO,80446,(970) 887-2311,,http://www.granbychamber.com,,,,,,,,,,,40.084913203066364,-105.9345021903961,usda,source,,"{""Business Name"":""usda"",""Address"":""usda"",""City"":""usda"",""Zip"":""usda"",""Phone"":""usda"",""Website"":""usda"",""County"":""census-geocoder""}"
Downtown Farmers' Market Festival,Farmers' Market,Main St.,Grand Junction,Mesa,CO,81501,(970) 216-8657,,,,,,,,,,,,,39.067303933538255,-108.55140601938072,usda,source,,"{""Business Name"":""usda"",""Address"":""usda"",""City"":""usda"",""Zip"":""usda"",""Phone"":""usda"",""County"":""census-geocoder""}"
