Business Name,Category,Address,City,County,State,Zip,Phone,Call first?,Website,Email,Facebook,Instagram,Hours,Months Open,Products,Certified Organic,SNAP,ADA Accessible,Notes,Latitude,Longitude
Rocky Mountain Garlic,CSA Farm,9241 County Road 156,Salida,Chaffee,CO,81201,(719) 221-6943,,Rockymountaingarlic.com,rockymountaingarlicllc@gmail.com,rockymountaingarlic,rockymountaingarlic,Mon: 6-Oct; Tue: 6-Oct; Wed: 6-Oct; Thu: 6-Oct; Fri: 6-Oct; Sat: 6-Oct,"May, June, July, August, September, October, November",,No,No,No,"Rocky Mountain Garlic is a Certified Naturally Grown, low till, bio intensive vegetable market garden specializing in hardneck garlic. Our Farm Store is open 6 days a week, May - November. You can also find us every Saturday at the Salida Farmers Market at Alpine Park 8am-12pm, June - October.",38.55088257506522,-106.01049240397752
Sackett's Farm Market,Other,20277 US 50,Rocky Ford,Otero,CO,81067,(719) 469-9785,No,,sackettsfarmmarket@gmail.com,,,Mon: 8am-7pm; Tue: 8am-7pm; Wed: 8am-7pm; Thu: 8am-7pm; Fri: 8am-7pm; Sat: 8am-7pm; Sun: 8am-7pm,"July, November","Apples, Apricots, Beets, Bell Peppers, Cabbage, Cantaloupe, Cherries, Chile Peppers, Chile - Roasted, Cucumbers, Cauliflower, Eggplant, Garlic, Grapes, Green Beans, Honeydew, Herbs, Lettuce, Okra, Onions, Peaches, Pears, Pinto Beans, Plums, Potatoes, Pumpkins, Radishes, Squash, Sweet Corn, Tomatoes, Watermelon, Zucchini, Honey, Jams, Jellies, Pickles, Popcorn, Cider, Juices",No,Yes,Yes,"Eat fresh, support local! Grab seasonal produced picked at the peak of ripeness grown right here in Rocky Ford. Youâ€™ll find a wide variety of melons, vegetables, fruit and other treats. Taste the farm fresh difference at Sackettâ€™s Farm Market!",38.04635054012865,-103.70286130377971
Scofield Fruits LLC,Roadside Market,1821 W Eisenhower Blvd,Loveland,Larimer,CO,80537,(970) 622-8228,No,https://scofieldfruits.com,info@scofieldfruits.com,https://www.facebook.com/scofieldfruit,https://www.instagram.com/scofieldfruits,Mon: 9 a.m. - 6 p.m.; Tue: 9 a.m. - 6 p.m.; Wed: 9 a.m. - 6 p.m.; Thu: 9 a.m. - 6 p.m.; Fri: 9 a.m. - 6 p.m.; Sat: 9 a.m. - 6 p.m.; Sun: 10 a.m. - 5 p.m.,"May, June, July, August, September","Apples, Apricots, Beets, Cantaloupe, Cherries, Chile Peppers, Chile - Roasted, Cucumbers, Asparagus, Bell Peppers, Broccoli, Cabbage, Cauliflower, Garlic, Green Beans, Honeydew, Nectarines, Okra, Onions, Peaches, Pears, Peas, Plums, Potatoes, Raspberries, Rhubarb, Squash, Strawberries, Sweet Corn, Tomatoes, Watermelon, Zucchini, Pie (Sour) Cherries, Eggs, Honey, Jams, Jellies, Pickles, Popcorn, Cider, Juices",No,Yes,Yes,"Also visit us every Thursday from 8-1 (June - Sept) at the Estes Valley Farmersâ€™ Market Located at the Estes Park Visitors Center, and Sunday at the Loveland Farmersâ€™ Market from 9-1 (June â€“ Sept) located at Fairgrounds Park.",40.407307436374396,-105.10299373087717
Smith Family Orchards,Roadside Market,680 36 1/4 Rd,Palisade,Mesa,CO,81526,(970) 424-8888,No,Www.smithfamilyorchard.com,smithfamilyorchards@outlook.com,Smith Family Orchard Store,@smithfamilyorchards.palisade,,"March, April, May, June, August, July, September, November, December","Cherries, Apricots, Peaches, Almonds, Baked Goods, Cheese, Eggs, Honey, Jams, Jellies, Handcrafted Gifts",No,No,Yes,"We're proud to be a Veteran-owned, family-run business dedicated to preserving the charm and warmth of a local farm store and orchard in Palisade, CO. Our commitment is to offer fresh, locally grown peaches and supporting local Artists & Crafters. Our store features local handcrafted creations, offering gifts & souvenirs.",39.10325399999999,-108.379818
Southwest Plaza Farmers' Market,Farmers' Market,8501 W. Bowles Ave,Littleton,Jefferson,CO,80123,(303) 655-3784,No,https://www.denverfarmersmarket.com/,starnertoni@yahoo.com,https://www.facebook.com/denverfarmersmarket,https://www.instagram.com/metro.denver.farmers.market/,Sat: 8 a.m. - 2 p.m. or sellout,"May, June, July, August, September, October","Apples, Apricots, Asparagus, Beets, Bell Peppers, Broccoli, Brussels Sprouts, Cabbage, Cantaloupe, Carrots, Cauliflower, Celery, Cherries, Chile Peppers, Chile - Roasted, Cucumbers, Eggplant, Garlic, Grapes, Green Beans, Herbs, Honeydew, Kale, Leeks, Lettuce, Microgreens, Mushrooms, Nectarines, Okra, Onions, Peaches, Pears, Peas, Pinto Beans, Plums, Potatoes, Pumpkins, Radishes, Raspberries, Rhubarb, Spinach, Squash, Strawberries, Sweet Corn, Tomatoes, Turnips, Watermelon, Zucchini, Beef, Jerky, Sausage, Alaskan Seafood
(Seasonal - frozen), Baked Goods, Cheese, Eggs, Honey, Jams, Jellies, Pickles, Popcorn, Cider, Juices, Wine, Handcrafted Gifts, Spirits",No,Yes,Yes,"Baked goods, BBQ, black-eyed peas, body oils, candles, candy, flowers (fresh-cut & dried), honey, jellies, kettle korn, kohlrabi, leeks, nuts, okra, pasta, pesto, pickles, tortillas, & wild rice. Gardening supplies & shoes. Specialty foods (German, African, French, and Mexican)",39.61075500000001,-105.0955875
Spano fresh produce,Roadside Market,5820 Lowell Blvd,Denver,Adams,CO,80221,(303) 901-3356,No,Spano Greenhouse and Farm,spanoemarie@gmail.com,Spano greenhouse and farm,Spano greenhouse and farm,Mon: 9 am -5pm; Tue: 9am - 5pm; Wed: 9am-5pm; Thu: 9am-5pm; Fri: 9am-5pm; Sat: 9am-5pm; Sun: 10am-4pm,"June, July, August, September, October, November, December, January, February, March, May, April",,No,No,Yes,"Spano, greenhouse and farm has a wide variety of annuals and perennials. Also from July through October 31 we have a farmers market fresh produce grown and sourced locally throughout Colorado pumpkin patch September through October 31..",39.802338336150385,-105.0346352841596
Straw Hat Farm Market & Kitchen Store,Roadside Market,514 S. 1st Street,Montrose,Montrose,CO,81401,(970) 417-4744,No,strawhatfarmmarket.com,strawhatfarmmarket@gmail.com,Straw Hat Farm Market & Kitchen Store,,Tue: 10 a.m. - 6 p.m.; Wed: 10 a.m. - 6 p.m.; Thu: 10 a.m. - 6 p.m.; Fri: 10 a.m. - 6 p.m.; Sat: 10 a.m. - 4 p.m.,"January, February, March, April, May, June, July, August, September, October, November, December","Apples, Apricots, Asparagus, Beets, Bell Peppers, Cantaloupe, Cherries, Chile Peppers, Cucumbers, Eggplant, Garlic, Green Beans, Herbs, Kale, Lettuce, Nectarines, Peaches, Pears, Peas, Pinto Beans, Plums, Potatoes, Rhubarb, Spinach, Squash, Sweet Corn, Tomatoes, Turnips, Zucchini, Baked Goods, Cheese, Eggs, Honey, Jams, Jellies, Popcorn, Cider, Juices, Handcrafted Gifts",No,No,Yes,"A local foodie favorite for all things fresh - local produce, eggs, and wholesome baked goods, plus a large selection of kitchen tools.",38.47961699999999,-107.87415299999999
Tagawa Gardens,Garden Center / Greenhouse,7711 S Parker Rd,Centennial,Arapahoe,CO,80016,(303) 690-4722,No,https://tagawagardens.com/,beth@tagawagardens.com,https://www.facebook.com/TagawaGardens,https://www.instagram.com/tagawagardens/,,"January, February, March, April, May, June, July, August, September, October, November, December",,No,No,Yes,"Tagawa Gardens has been helping our community grow with great plants and great people, since 1982! Everything for the garden, plus indoor plants, planting and garden maintenance services, gifts, seasonal fresh produce, frozen pies, plus classes, events, and workshops for the public and for private groups by appointment.",39.57672600000001,-104.795874
Talon Wines,Winery,3701 G Road,Palisade,Mesa,CO,81526,(970) 464-1300,No,https://www.talonwines.com/,media@talonwinebrands.com,https://www.facebook.com/TalonWines,https://www.instagram.com/talonwines/,,"January, February, March, April, May, June, July, August, September, October, November, December","Wine, Mead",No,No,Yes,"Talon Wines is Colorado's premier producer of award-winning grape, fruit, botanical, and honey wines. Its diverse portfolio spans three distinct labels: Talon Winery, St. Kathryn Cellars, and Meadery of the Rockies. With over 25 wines, there's something for every taste and occasion!",39.105801000000014,-108.365814
The Backyard Market in Black Forest,Farmers' Market,6845 Shoup Rd,Colorado Springs,El Paso,CO,80908,,No,thebackyardmarkets.com,theda@thebackyardmarkets.com,@backyardmarketinbf,@backyardmarketinbf,Sat: 9am-1pm,"May, June, July, August, September, October","Apples, Apricots, Asparagus, Beets, Bell Peppers, Broccoli, Brussels Sprouts, Cabbage, Cantaloupe, Carrots, Cauliflower, Celery, Cherries, Chile Peppers, Chile - Roasted, Cucumbers, Eggplant, Garlic, Grapes, Green Beans, Herbs, Honeydew, Kale, Leeks, Lettuce, Microgreens, Mushrooms, Nectarines, Okra, Onions, Peaches, Pears, Peas, Pinto Beans, Plums, Potatoes, Pumpkins, Radishes, Raspberries, Rhubarb, Spinach, Squash, Strawberries, Sweet Corn, Tomatoes, Turnips, Watermelon, Zucchini, corn,, Beef, Buffalo, Lamb, Pork, Poultry, Sausage, Wild Caught Atlantic Salmon, Black Cod, and Halibut, Baked Goods, Cheese, Eggs, Honey, Jams, Jellies, Pickles, Popcorn, Cider, Juices, tortillas, salsa, granola, juice, milk, goat milk, cured meats, sherbet, pasta, pasta sauce, quinoa, nut butters,",No,Yes,Yes,"Located in beautiful Black Forest the farmers market hosts over 60 vendors each week with live music, a free educational kids corner activity,  Food trucks, and more.",39.012471000000005,-104.6998125
The County With The Bounty & Wild West Excursions,Roadside Market,100 N Pinon Drive Road M,Cortez,Montezuma,CO,81321,(970) 739-1700,No,https://CountyWithTheBounty.com,ride@wildwestexcursions.com,https://facebook.com/thecounty withthe bounty,https://instagram.com/countywiththebounty,Mon: 10 am - 6 pm; Tue: 10 am - 6 pm; Wed: 10 am - 6 pm; Thu: 10 am - 6 pm; Fri: 10 am - 6 pm; Sat: 10 am - 6 pm; Sun: 10 am - 6 pm,"January, February, March, April, May, June, July, August, September, October, November, December","Apples, Apricots, Cabbage, Carrots, Chile Peppers, Chile - Roasted, Cucumbers, Cherries, Garlic, Lettuce, Mushrooms, Onions, Peaches, Pinto Beans, Potatoes, Spinach, Tomatoes, USDA Local Black Angus Beef, Heritage Berkshire Pork, Premium Lamb, Local Chicken, Beef, Lamb, Pork, Poultry, Sausage, Jerky, Organs, Bones, Kidney Fat, Beef Fat, Pork Fat, Baked Goods, Eggs, Honey, Jams, Jellies, Popcorn, Cheese, Pickles, Handcrafted Gifts, Cider, Local Milled Flour, Wheat, Sourdough Breads",No,No,No,"The County With The Bounty offers Locally sourced food and gift products crafted by local farmers and ranchers.  
We are Ranchers, Farmers and Colorado Proud.  Agritourism tours and Adventures are offered by Wild West Excursions our Parent Company.  WildWestExcursions.com for Pack Goat Hikes, Horseback Rides, Mesa Verde NP",37.349892,-108.590013
The High Lonesome Ranch,On-Farm / Ranch Sales,0275 CR 222,De Beque,Mesa,CO,81630,(970) 283-9420,Yes,https://thehighlonesomeranch.com/,ace@thehighlonesomeranch.com,The High Lonesome Ranch,The High Lonesome Ranch,Mon: 8am to 6pm; Tue: 8am to 6pm; Wed: 8am to 6pm; Thu: 8am to 6pm; Fri: 8am to 6pm,"December, November, October, August, July, June, May, April, March, February, January, September",,No,No,Yes,"At High Lonesome Ranch, our mission is to steward the land, care for our animals, and nourish our community with integrity. Through regenerative ranching practices and a deep respect for nature, we aim to raise exceptional grass-finished beef while preserving the health of our soil, water, and ecosystems for generations.",39.37971941735433,-108.36373416735069
The Storm Cellar,Winery,14139 Runzel Gulch Road,Hotchkiss,Delta,CO,81419,(970) 589-3142,No,https://stormcellarwine.com,hello@stormcellarwine.com,https://www.facebook.com/stormcellarwine,https://www.instagram.com/stormcellarwine,Thu: 12 p.m. - 7 p.m.; Fri: 12 p.m. - 7 p.m.; Sat: 12 p.m. - 7 p.m.; Sun: 12 p.m. - 7 p.m.,"May, June, July, August, September, October","100% Colorado-grown white, rosÃ©, and sparkling wines",No,No,No,"The Storm Cellar is a boutique winery, specializing in white, rosé, and sparkling wines. We also offer a selection of non-alcoholic beverages for our guests. We frequently host chef dinners and pop-ups at our outdoor tasting room. Please check our website for details.",38.85943499999999,-107.653707
Three Sisters Farm & Dairy,U-Pick,2043 53rd lane,Boone,Pueblo,CO,81025,(719) 240-4996,,threesistersfarmanddairy.com,threesistersfarm7r@yahoo.com,https://www.facebook.com/ThreeSistersFarm7R/#,,Mon: Check our website / FB page for events and hours; Tue: Check our website / FB page for events and hours; Wed: Check our website / FB page for events and hours; Thu: Check our website / FB page for events and hours; Fri: Check our website / FB page for events and hours; Sat: Check our website / FB page for events and hours; Sun: Check our website / FB page for events and hours,"January, February, March, April, May, June, July, August, September, October, November, December",,No,Yes,Yes,"Three Sisters Farm & Dairy specializes in all things wholesome from the pasture, garden, dairy barn and chicken coop.  We love sharing our produce, eggs, and meat products and we are passionate about teaching people more about the food they eat.

Whether you enjoy farm fresh eggs, want fresh produce that you pick your",38.21194800000001,-104.299542
Uncompahgre Farms,On-Farm / Ranch Sales,1029 6400 Rd,Montrose,Montrose,CO,81403,(305) 216-4682,Yes,www.uncofarms.com,uncofarm@gmail.com,,,,"January, February, March, April, December, November, October, September, August, July, June, May","Beef, Lamb, Poultry, Eggs",No,No,No,"Uncompahgre Farms is a first-generation regenerative ranch in Montrose, Colorado, raising beef, lamb, eggs, and milk on pasture. Through rotational grazing and soil-focused stewardship, we provide nutrient-dense, responsibly raised food directly to our local community.",38.46510000000001,-107.894214
Whitewater Hill Vineyards,Winery,220 32 Road,Grand Junction,Mesa,CO,81503,(970) 434-6868,No,whitewaterhill.com,info@whitewaterhill.com,facebook.com/whitewaterhill,instagram.com/whitewaterhillvineyards,Mon: 10 a.m. - 5:45 p.m.; Tue: 10 a.m. - 5:45 p.m.; Wed: 10 a.m. - 5:45 p.m.; Thu: 10 a.m. - 5:45 p.m.; Fri: 10 a.m. - 5:45 p.m.; Sat: 10 a.m. - 5:45 p.m.; Sun: 10 a.m. - 5:45 p.m.,"January, February, March, April, May, June, July, August, September, October, November, December","Dry whites, dry reds, semi-sweets, and dessert wines.",No,No,Yes,"Colorado Wine Made With Colorado Grapes! A wine for every palate with tastings held right where we grow and make it. Dog friendly, people friendly, and place oriented. Enjoy amazing views of the valley during your guided wine tasting - experience ColoRADo agritourism! Check out our website for more!",39.036078,-108.45819
Colorado Farm and Art Market,Farmers' Market,"7350 Pine Creek Road, Colorado Springs, CO 80919, USA",Colorado Springs,El Paso,CO,80905,(719) 640-6154,No,,farmandartmarket@gmail.com,,,Sat: 10am-2pm,"June, July, August, September, October","Cherries, Apples, Apricots, Beets, Bell Peppers, Broccoli, Cabbage, Carrots, Cauliflower, Chile Peppers, Chile - Roasted, Cucumbers, Cantaloupe, Eggplant, Garlic, Green Beans, Herbs, Honeydew, Kale, Leeks, Lettuce, Mushrooms, Nectarines, Onions, Peaches, Pears, Plums, Potatoes, Pumpkins, Radishes, Rhubarb, Spinach, Squash, Sweet Corn, Tomatoes, Turnips, Watermelon, Zucchini, Beef, Poultry, Pork, Jerky, Lamb, Sausage, Baked Goods, Cheese, Eggs, Honey, Jams, Jellies, Pickles",No,No,Yes,,38.93780699999999,-104.814981
Loveland West Farmers Market at JAX,Farmers' Market,2665 W Eisenhower Blvd,Loveland,Larimer,CO,80537,(970) 231-2020,Yes,,treatsbyagnes@hotmail.com,https://www.facebook.com/LovelandWestFarmersMarket/,https://www.instagram.com/loveland.west.farmers.market/,Tue: 9 a.m. - 1 p.m.,"April, May, June, July, August, September, October, November","Apples, Apricots, Asparagus, Beets, Bell Peppers, Broccoli, Brussels Sprouts, Cabbage, Cantaloupe, Carrots, Cauliflower, Celery, Cherries, Chile Peppers, Chile - Roasted, Cucumbers, Eggplant, Garlic, Green Beans, Herbs, Honeydew, Kale, Leeks, Lettuce, Microgreens, Mushrooms, Nectarines, Okra, Onions, Peaches, Pears, Peas, Pinto Beans, Plums, Potatoes, Pumpkins, Radishes, Raspberries, Rhubarb, Spinach, Squash, Strawberries, Sweet Corn, Tomatoes, Turnips, Watermelon, Zucchini, Corn, Beef, Pork, Sausage, Baked Goods, Eggs, Honey, Jams, Jellies, Pickles, Popcorn, Handcrafted Gifts, Hot Sauce, Tamales, House Plants, Dumplings, GF Items, Ice Cream, Snow Cones, Face Painting",No,Yes,Yes,"The market is open from April 22nd to November 3rd and is located in the JAX West parking lot, where plenty of parking is available. Rain or shine, stop by to enjoy breakfast or lunch while exploring our offerings. Don't miss our monthly specials! Plus, during summer break, we host a kids' program.",40.40743719427048,-105.11302420486611
Southeast Farmers Market,Farmers' Market,2050 Jet Wing Drive,Colorado Springs,El Paso,CO,80916,(719) 491-2746,,,sonya.sefc@gmail.com,,,Sun: 11am-3pm,"June, July, September, August, October","Apples, Apricots, Beets, Bell Peppers, Broccoli, Cabbage, Cantaloupe, Carrots, Cauliflower, Cherries, Chile Peppers, Chile - Roasted, Cucumbers, Eggplant, Garlic, Green Beans, Herbs, Honeydew, Kale, Leeks, Lettuce, Mushrooms, Nectarines, Onions, Peaches, Pears, Plums, Potatoes, Pumpkins, Radishes, Rhubarb, Spinach, Squash, Tomatoes, Turnips, Watermelon, Zucchini, Beef, Jerky, Lamb, Pork, Poultry, Baked Goods, Eggs, Cheese, Honey, Jams, Jellies, Pickles",No,No,Yes,,38.80170609195172,-104.75033733075064
Rehfeld Ranch Raised,On-Farm / Ranch Sales,4790 County Road 55,Arapahoe,Cheyenne,CO,80802,(719) 340-8080,,,ronald.rehfeld@gmail.com,,,,"January, February, March, April, May, June, July, August, September, October, November, December",,No,No,No,"Whole and half beef sales. Delivered to a custom processing plant. Delivery available to Eastern Colorado and the Front Range. Raised on grass, finished on corn, silage and ground hay. Meat You Can Eat. Just Corn and Time.",38.67654778800005,-102.26231278899996
City Park Farmers Market,Farmers' Market,2551 E Colfax Ave,Denver,Denver,CO,80206,,No,https://www.cityparkfarmersmarket.com/,cityparkfarmersmarket@gmail.com,https://www.facebook.com/cityparkfarmersmarket/,@cityparkfarmersmarket,Sat: 8am - 1pm,"May, June, July, August, September, October","Apples, Apricots, Asparagus, Beets, Bell Peppers, Broccoli, Brussels Sprouts, Cabbage, Cantaloupe, Carrots, Cauliflower, Celery, Cherries, Chile Peppers, Chile - Roasted, Cucumbers, Eggplant, Garlic, Green Beans, Herbs, Grapes, Honeydew, Kale, Leeks, Lettuce, Microgreens, Mushrooms, Nectarines, Okra, Onions, Peaches, Pears, Peas, Pinto Beans, Plums, Potatoes, Pumpkins, Radishes, Raspberries, Rhubarb, Spinach, Squash, Strawberries, Sweet Corn, Tomatoes, Turnips, Watermelon, Zucchini, Beef, Lamb, Pork, Poultry, Sausage, Baked Goods, Cheese, Eggs, Honey, Jams, Jellies, Pickles, Popcorn, Cider",No,Yes,Yes,"The City Park Farmers Market is a growers-focused market that runs on Saturdays (Mayâ€“October) at City Park in Denver. With 100+ local vendors, fresh produce, meats, dairy, baked goods, local packaged food, and prepared food. It accepts SNAP and DUFB.",39.740255285000046,-104.95638294799994
Montrose Farmers Market,Farmers' Market,Centennial Plaza,Montrose,Montrose,CO,81401,(970) 249-0705,,www.valleyfoodpartnership.org,office@valleyfoodpartnership.org,https://www.facebook.com/MontroseFarmersMarket,https://www.instagram.com/montrosecoloradofarmersmarket/?hl=en,"Sat: Summer Season: 9 am - 1 pm, Winter Season: 10 am - 1 pm","January, February, March, April, May, June, July, August, September, November, October, December","Apples, Apricots, Asparagus, Beets, Bell Peppers, Broccoli, Cabbage, Cantaloupe, Carrots, Cauliflower, Celery, Cherries, Chile Peppers, Chile - Roasted, Cucumbers, Eggplant, Garlic, Grapes, Green Beans, Herbs, Honeydew, Kale, Leeks, Microgreens, Mushrooms, Onions, Nectarines, Peaches, Pears, Peas, Pinto Beans, Plums, Potatoes, Pumpkins, Radishes, Rhubarb, Spinach, Squash, Sweet Corn, Tomatoes, Turnips, Watermelon, Zucchini, Beef, Pork, Poultry, Sausage, Baked Goods, Cheese, Eggs, Honey, Jams, Jellies, Pickles, Cider, Juices, Handcrafted Gifts",No,Yes,Yes,"The Montrose Farmers Market is a year-round market featuring farmers, ranchers, producers, and artisans of the Western Slope. Our mission is to connect local producers to local people, provide food access services (SNAP and Double Up Food Bucks), help to incubate new businesses and producers, and support community building.",38.47814846800003,-107.86221239799994
Breckenridge Sunday Market,Farmers' Market,505 S Main Street Main Street Station,Breckenridge,Summit,CO,80424,(970) 471-9029,No,https://rockymountainevents.com/,info@rockymtnevents.com,Breckenridge Sunday Market,brecksundaymarket,Sun: 10:00am - 3:00pm,"June, July, August, September","Apples, Apricots, Asparagus, Beets, Bell Peppers, Broccoli, Brussels Sprouts, Cabbage, Cantaloupe, Carrots, Cauliflower, Cherries, Chile Peppers, Chile - Roasted, Cucumbers, Green Beans, Herbs, Kale, Lettuce, Nectarines, Onions, Peaches, Peas, Plums, Potatoes, Spinach, Squash, Tomatoes, Zucchini, Beef, Buffalo, Jerky, Sausage, Baked Goods, Cheese, Eggs, Honey, Jams, Pickles, Jellies, Popcorn, Juices, Handcrafted Gifts",No,No,Yes,,39.47679420900005,-106.04489474799999
Ridgway Farmers Market,Farmers' Market,Hartwell Park,Ridgway,Ouray,CO,81432,(970) 497-0755,,www.ridgwayfarmersmarket.com,manager@ridgwayfarmersmarket.com,https://www.facebook.com/RidgwayFarmersMarket,https://www.instagram.com/ridgway_farmersmarket/,Fri: 10 a.m. - 2 p.m.,"May, June, July, August, September, October",,No,Yes,Yes,"Ridgway Farmers Market is a vibrant weekly market in Ridgway, Colorado, featuring local farmers, ranchers, food producers, and artisans. Weâ€™re dedicated to fresh food, handmade goods, and building strong community connections through local commerce.",38.08930451900005,-107.71635496399995
Guidestone Colorado,Agritourism,8913 West Hwy 50,Salida,Chaffee,CO,81201,(719) 239-0955,,www.GuidestoneColorado.org,info@guidestonecolorado.org,,,,"May, June, July, August, September, October, February, March, April, November","Beets, Bell Peppers, Broccoli, Brussels Sprouts, Cabbage, Carrots, Cauliflower, Celery, Cucumbers, Eggplant, Garlic, Green Beans, Herbs, Kale, Leeks, Lettuce, Microgreens, Onions, Peas, Potatoes, Pumpkins, Radishes, Rhubarb, Spinach, Squash, Tomatoes, Turnips, Zucchini, Beef, Cider, The cider is specifically in conjunction with our annual Pumpkin Patch & Harvest Festival in October",No,Yes,Yes,"Guidestone Colorado operates the Hutchinson Homestead & Learning Center, a 150 year old historic homestead where the history of the land comes to life through education programs, heritage tours and community events like the annual Pumpkin Patch & Harvest Festival. Guidestone's farmstand is open Tuesdays 4-6pm, May-October.",38.53883153513492,-106.18720074498013
Fleischer Family Farm,CSA Farm,2005 S Zephyr Ct,Lakewood,Jefferson,CO,80227,(412) 973-8041,No,www.fleischerfamilyfarm.com,fleischerfamilyfarm@gmail.com,https://www.facebook.com/TheFleischerFamilyFarm,https://www.instagram.com/FleischerFamilyFarm,Tue: 4-7PM; Sat: 10-2,"May, June, July, August, September, October, November, December","Beets, Bell Peppers, Broccoli, Cabbage, Carrots, Chile Peppers, Cucumbers, Eggplant, Garlic, Green Beans, Herbs, Kale, Leeks, Lettuce, Microgreens, Onions, Peas, Pumpkins, Radishes, Rhubarb, Spinach, Squash, Tomatoes, Turnips, Zucchini, Eggs, Honey",No,Yes,Yes,"The Fleischer family farm is a 2 acre mixed vegetable production farm that focuses on two local markets, a large CSA program and supplying food to a small mountain town grocery store. We also host a number of Agritourism events, such as a kids summer farm camp, adult education classes, and a 100 diner Farm To table dinner",39.68051400000002,-105.08593499999999
The Larkspur Farmers Market,Farmers' Market,8820 Spruce Mountain Road,Larkspur,Douglas,CO,80118,(720) 519-7178,Yes,www.thelarkspurfarmersmarket.com,thelarkspurfarmersmarket@gmail.com,The Larkspur Farmers Market,The Larkspur farmers Market,Wed: 3PM - 7Pm,"June, July, August, September","Apples, Apricots, Asparagus, Beets, Bell Peppers, Brussels Sprouts, Broccoli, Cabbage, Cantaloupe, Carrots, Cauliflower, Celery, Cherries, Chile Peppers, Chile - Roasted, Cucumbers, Pears, Peaches, Onions, Okra, Nectarines, Mushrooms, Microgreens, Lettuce, Leeks, Kale, Honeydew, Herbs, Green Beans, Grapes, Garlic, Eggplant, Peas, Plums, Potatoes, Pumpkins, Radishes, Raspberries, Rhubarb, Spinach, Squash, Strawberries, Sweet Corn, Tomatoes, Turnips, Watermelon, Zucchini, Beef, Buffalo, Jerky, Lamb, Pork, Poultry, Sausage, Baked Goods, Cheese, Eggs, Honey, Jams, Jellies, Pickles, Popcorn, Cider, Juices, Mead, Handcrafted Gifts",No,No,Yes,"Find locally grown organic fruits and vegetables, farm-fresh eggs, and locally raised organic meats. Browse beautiful home dÃ©cor and handcrafted goods, artisan oils, soaps, and candles, along with unique local art and crafts and so much more!",39.23331300000001,-104.8823235
Golden Chamber of Commerce,Farmers' Market,1010 Washington Ave,Golden,Jefferson,CO,80401,(720) 769-2143,Yes,https://goldenfarmersmarket.org/,info@goldenfarmersmarket.org,https://www.facebook.com/https://www.facebook.com/goldenfarmersmarket,https://www.instagram.com/https://www.instagram.com/goldenfarmersmarket,Sat: 8am-1pm,"June, July, August, September, October","Apples, Apricots, Asparagus, Beets, Bell Peppers, Broccoli, Brussels Sprouts, Cabbage, Cantaloupe, Carrots, Cauliflower, Celery, Cherries, Chile Peppers, Chile - Roasted, Cucumbers, Eggplant, Garlic, Green Beans, Herbs, Honeydew, Kale, Leeks, Lettuce, Microgreens, Mushrooms, Nectarines, Onions, Peaches, Pears, Peas, Plums, Potatoes, Pumpkins, Radishes, Raspberries, Spinach, Squash, Strawberries, Sweet Corn, Tomatoes, Turnips, Watermelon, Zucchini, Beef, Baked Goods, Cheese, Eggs, Honey, Jams, Jellies, Pickles, Handcrafted Gifts, Juices, Cider",No,Yes,Yes,"The market takes place in the parking lot west
of the Golden Public Library. We host 70 vendors weekly plus live entertainment.",39.756969,-105.223302
FrontLine Farming,CSA Farm,5270 Federal Blvd,Denver,Denver,CO,80221,(720) 258-6609,No,https://www.frontlinefarming.org/csa,info@frontlinefarming.org,,,Tue: 4 pm - 6 pm; Thu: 4 pm - 6 pm; Sat: 12pm - 2pm,"June, July, August, September, October","Asparagus, Beets, Bell Peppers, Broccoli, Cabbage, Cantaloupe, Carrots, Cauliflower, Chile Peppers, Cucumbers, Eggplant, Garlic, Grapes, Green Beans, Herbs, Honeydew, Kale, Leeks, Lettuce, Okra, Onions, Peas, Potatoes, Pumpkins, Radishes, Rhubarb, Spinach, Squash, Strawberries, Sweet Corn, Tomatoes, Turnips, Watermelon, Zucchini, Flowers, Jams, Jellies",No,Yes,Yes,"We work with community partners to develop and nurture local food networks, and support farmer leadership in food systems development. Through food production, land stewardship, education, and community collaboration, we work to create a thriving agricultural landscape and vibrant local economies.",39.79323329859874,-105.02507521001375
Boulder Valley Honey,CSA Farm,7103 Valmont Road,Boulder,Boulder,CO,80301,(303) 990-3998,No,BoulderValleyHoney.com,Chris@BoulderValleyHoney.com,Facebook.com/BoulderValleyHoney,Instagram.com/BoulderValleyHoney,,"January, February, March, April, June, May, July, August, September, October, November, December","Honey, Local Honeybees, Queens, Beeswax, Nucs, Beehive Equipment from CO timber, Beekeeping and Health Consultation",No,Yes,No,"We are local beekeepers selling only the honey produced from our own beehives.  We  catalog the flora of each of our honeys which are separated during extraction to retain their unique locality.  Wholesaling, bulk, custom labeling, weddings, research, and consult available.  We research and publish on bees with CU and CSU.",40.034637000000004,-105.1861725
